signatur,urheber,urheber_idn,titel,zusatztitel,technik,ort,verlag,jahr,blattmass,bildmass,reihe,preis,schlagwort,bemerkung,bemerkung2
Kbl 1960 A 54,"Klee, Paul",118462827,Diana,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,300 x 210,233 x 175,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 B 9,"Klee, Paul",118462827,"Fenster und Dächer, rosa-gelb",,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,505 x 400,310 x 240,"Piperdruck, Nr. 205",32.-,Abstrakte Malerei,,
Kbl 1960 C 88,"Klee, Paul",118462827,Um den Fisch,,Mehrfarb. Lichtdruck,Eßlingen a. N.,Fingerle & Co.,1957,595 x 740,465 x 640,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 A 53,"Klee, Paul",118462827,Fischzauber (Großes Fischbild 1925),,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1956,212 x 300,175 x 225,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1956 C 208,"Klee, Paul",118562827,Flußbaulandschaft,,Mehrfarb. Kupfertiefdruck,München,Bruckmann,1956,485 x 640,365 x 540,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 A 35,"Klee, Paul",118562827,Haupt- und Nebenwege,,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1952,238 x 205,160 x 128,,"1,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1959 A 114,"Klee, Paul",118562827,Kompositionen,,Mehrfarb. Autotypie,München,Ackermann,1959,275 x 230,198 x 160,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1956 C 218,"Klee, Paul",118562827,Kreuze und Säulen,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1956,300 x 650,420 x 555,,35.- DM (BRD),Abstrakte Malerei,,
Kbl 1967 C 37,"Klee, Paul",118462827,Bewegte Landschaft,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1966,550 x 750,410 x 640,,55.- DM (BRD),Abstrakte Malerei,,
Kbl 1957 C 28,"Klee, Paul",118462827,Kleine rhythmische Landschaft,,Mehrfarb. Lichtdruck,München,Piperdrucke,1956,560 x 467,287 x 230,"Piperdruck, Nr.181",20.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 B 8,"Klee, Paul",118462827,Landschaft der Vergangenheit,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,420 x 420,240 x 270,"Piperdruck, Nr. 204",32.-,Abstrakte Malerei,,
Kbl 1971 C 150,"Klee, Paul",118462827,Legende vom Nil,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,795 x 710,680 x 610,,65.-,Abstrakte Malerei,,
Kbl 1960 A 55,"Klee, Paul",118462827,Paukenspieler,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,300 x 210,255 x 160,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 C 12,"Klee, Paul",118462827,Beflaggter Pavillon,,Mehrfarb. Kupfertiefdruck,München,Bruckmann,1959,500 x 680,403 x 603,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1969 C 16,"Klee, Paul",118462827,Die Pflanze und ihr Feind,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1968,620 x 420,470 x 310,"Gradus-Blätter, G 3306",14.-,Abstrakte Malerei,,
Kbl 1960 A 51,"Klee, Paul",118462827,Puppentheater,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,300 x 210,243 x 173,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 A 60,"Klee, Paul",118462827,Revolution des Viadukts,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1959,265 x 220,,,"2,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1960 C 87,"Klee, Paul",118462827,Revolution des Viadukts,,Mehrfarb. Lichtdruck,Eßlingen a. N.,Fingerle & Co.,1956,915 x 710,610 x 500,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 163,"Klee, Paul",118462827,Schiffe im Dunkeln,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1971,520 x 640,415 x 560,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1950 C 21-50,"Klee, Paul",118462827,Unterwassergarten,[nebst] Kommentar,Mehrfarb. Tiefdruck,"Luzern, Lausanne","Kunstkreis [f. Deutschland: Freudenstadt, Württ., Postfach 125]",1956,600 x 480,545 x 440,"Kunstkreis [Serie 7, Nr] 50",sfr 6.-,Abstrakte Malerei,"Wechselrahmen mit Naturholz 12.50; Standard-Wechselrahmen 15,-; Sammelmappe sfr 3,50",
Kbl 1960 C 86,"Klee, Paul",118462827,Vollmond,,Mehrfarb. Lichtdruck,Eßlingen a. N.,Fingerle & Co.,1955,675 x 490,500 x 380,,35.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 A 36,"Klee, Paul",118462827,Wachstum der Nachtpflanzen,,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1952,240 x 200,170 x 120,,"1,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1960 A 57,"Klee, Paul",118462827,Warnung der Schiffe,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1955,305 x 215,270 x 183,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1957 A 110,"Klee, Paul",118462827,Zweige im Herbst,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1957,400 x 300,300 x 225,"Sammlung kleiner Drucke, S. 21",4.- DM (DDR),Abstrakte Malerei,,
Kbl 1960 A 56,"Klee, Paul",118462827,Zweihügel-Stadt,,Mehrfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1956,210 x 300,150 x 235,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1968 C 68,"Knopp, Axel",173111718,Axel Knopp,Hrsg. V. Walter Aue,Mehrfarb. Orig.-Siebdruck,Köln,Hake,1965,400 x 400,380 x 400,,Preis nicht mitgeteilt,Abstrakte Malerei,"in Mappe ; 1 Bl. Text, 6 Taf. ; 1. Man spanne d. Namen in d. Turbine; d. Mann findet sein Auskommen als 8 mm-Schraube. - 2. Frauspaltung im III. Versuch ; Exhit d. Frühwesens. - 3. Frau 78 in Halle muttert Schrauben in Schenkel A-C. - 4. Junges Wesen als Uhr eingesetzt (Probezeit 3 Monate). - 5, Fastmenschliches Teilstück im III. Prozeß. - 6. Versager (turbinische Neurose), technische Mängel: keine.",
Kbl 1970 B 53,"Kraft, Veronika",,Die Unterirdischen,,Lichtdruck,Berlin,Rembrandt Verlag,1970,540 x 420,400 x 300,,in Kassette 180.- DM,Abstrakte Malerei,"4 Lichtdrucke, (oval) ; Einmalige Aufl. in 75 numer. U. sign. Ex. (1. Das klagende Lied. - 2. Nordlicht. - 3. Briefe an kleine Mädchen. - Inklination",
Kbl 1961 C 26,"Kremer, Alfred",118999958,Tor zum Licht,,"Öl, Mehrfarb. Lichtdruck","Icking, München",Verlag der Phönixdrucke,1960,665 x 500,485 x 340,,40.- DM (BRD),Abstrakte Malerei,[Phönixdruck] P 106/5,
Kbl 1967 C 89,"Krenn, [Hans]",102773460X,"""Gib mir etwas Leine""",,Orig.-Farblithographie,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,600 x 415,570 x 400,,70.- DM (BRD),Abstrakte Malerei,50 Abzüge,
Kbl 1967 B 16,"Krenn, Hans",102773460X,Der Mehrzweckmensch,,Orig.-Radierungen (2 mehrfarb. aquarelliert),Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,470 x 320,verschied. Bildgr.,,240.- DM (BRD),Abstrakte Malerei,in Mappe ; 7 Radierungen (2 mehrfarb. Aquarelliert) ; 30 Abzüge auf Bütten ; 1. Der Mehrzweckmensch schützt sich. - 2. Der gehobene Mehrzweckmensch. - 3. Der Mehrzweckmensch liebt den Tanz. - 4. Der Mehrzweckmensch läßt's sich schmecken. - 5. Der Mehrzweckmensch rettet seinesgleichen. - 6. Der gebannte Mehrzweckmensch. - 7. Der Mehrzweckmensch hat eine freigebige Hand.,
Kbl 1978 C 21,"Léger, Fernand",118570994,Komposition,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1977,850 x 680,770 x 600,"Gradus-Blätter, G 3413",30.- DM (DDR),Abstrakte Malerei,,
Kbl 1963 C 68,"Lurcat, Jean",118729756,Acapulco,Wandteppich,Mehrfarb. Offsetdruck,"Viernheim, Zürich",Viernheim-Verl.,1963,477 x 597,345 x 567,,8.-,Abstrakte Malerei,"bei Abnahme von 6 Bildern u. mehr nach freier Wahl je Bild 6,- ; Mappe zum Aufbewahren 4,- ; Berichtigg zu Bibl. D. Kbl, 1963, H. 1, 25",
Kbl 1957 C 29,"Macke, August",118575864,Mit gelber Jacke,,Mehrfarb. Lichtdruck,München,Piperdrucke,1956,510 x 690,298 x 448,"Piperdruck, Nr. 173",40.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 C 60,"Magritte, René",118576208,Die dritte Dimension,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1973,630 x 490,535 x 395,,28.- DM (BRD),Abstrakte Malerei,,
1957 B 355 -1.2,,,Abstrakte Malerei,Folge 1. 2.,Mehrfarb. Autotypie,Baden-Baden,Klein,1957,340 x 240,195 x 140 u. versch. Gr.,,"je 9,50 DM (BRD)",Abstrakte Malerei,in Mappe ; je 2 Bl.; 10 Taf. ; 1. Willi Baumeister: Monturi (Diskus.). - Alexander Camaro: Station in der Arktis. - Paul Klee: Orakel. - Willi Müller-Hufschmid: Der blaue Punkt. - Erich Müller-Kraus: Fernes Licht. - E[rnst] W[ilhelm] Nay: Saturn. - Otto Nebel: Dem Herbste erzählt. - Ferdinand Springer: Nachtblume. - Theodor Werner: Ausstrahlende Flecken. - Fritz Winter: Der gelbe Fleck. - Willi Baumeister: Montaru (Umschlagbild) ; 2. Willi Baumeister: Aru mit Fleck. - Renato Birolli: Grün und Blau über Lagurien. - Francis Bott: Abstrakte Komposition. - Wilhelm Imkamp: Abstrakte Komposition. - Wassily Kandinsky: Durchgehender Strich. - Ferdinand Léger: Stilleben auf blauem Grund. - Georg Meistermann: Luftstreit. - Willi Müller-Hufschmid: Der weiße Punkt. - Vieira de Silva: Komposition. - Fritz Winter: Wandlung. - Joan Mirô: Roter Punkt (Umschlagbild),
1957 B 355,,,Abstrakte Malerei,Folge 3. 4.,Mehrfarb. Autotypie,Baden-Baden,Klein,1959,340 x 240,250 x 175 u. versch. Gr.,,"je 9,50 DM (BRD)",Abstrakte Malerei,"in Mappe ; je 10 Farbtaf. ; je 2 Bl.; 10 Taf. ; 3. Baumeister, Willi: Aru in Gelb. - Gischia, Léon: Stilleben. - Gris, Juan: Stilleben mit Guitarre. - Kandinsky, Wassily: Komposition. - Nebel, Otto: Dem Herbst erzählt. - Léger, Fernand: Komposition. - Levedag, Fritz: Komposition. - Picasso, Pablo: Tisch d. Torero. - Trökes, Heinz: Gefährdete Insel. - Winter, Fritz: Bewegte Mitte. - Meistermann, Georg: Baummetamorphosen (Umschlagbild) ; 4. Baumeister, Willi: Faust. - Brust, Karl-Friedrich: Geheimnisvolles Blau. - Cavael, Rolf: Komposition. - Dienz, Hermann: Winterlich. - Kleint, Boris: Frohe Welten. - Manessler, Alfred: Petit Paysage Hollandais. - Muche, Georg: Komposition mit schwarzer und grüner Form. - Müller-Krauss, Erich: Musik für Streicher, Celesta, Schlagzeug. - Stael, Nicolas de: Landschaft. - Weiters, Ernst: Nachtblume. - Mondrian, Piet: Komposition (Umschlagbild)",
Kbl 1971 C 124,"Manessier, Alfred",118730614,Dornenkrone,,Mehrfarb. Lichtdruck,München,Bruckmann,1959,700 x 580,575 x 480,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 84,"Manessier, Alfred",118730614,Fest in Zeeland,,Mehrfarb. Lichtdruck,München,Hanfstaengl,um 1964,915 x 420,795 x 315,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 C 81,"Manessier, Alfred",118730614,Die Nacht,,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1959,495 x 645,400 x 530,,15.- DM (BRD),Abstrakte Malerei,,
Kbl 1963 A 101,"Manessier, Alfred",118730614,Per amica silentia lunae,,Mehrfarb. Autotypie,Köln,Seemann,1958,250 x 300,183 x 250,Galerien Ebropas Nr. 8515,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1956 C 205,"Marc, Franz",11857745X,Abstrakte Form,,Mehrfarb. Kupfertiefdruck,München,Bruckmann,1956,600 x 690,460 x 570,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1956 C 206,"Marc, Franz",11857745X,Tierkomposition,,Mehrfarb. Kupfertiefdruck,München,Bruckmann,1956,735 x 570,600 x 455,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1959 A 116,"Marc, Franz",11857745X,Tierschicksale,,Mehrfarb. Autotypie,München,Ackermann,1959,210 x 250,148 x 200,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1971 C 185,"Marini, Marino",,Le cheval,,Mehrfarb. Offsetdruck,Kempen-Niederrh.,Dr. te Neues,1963,735 x 625,610 x 425,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1971 C 186,"Marini, Marino",,Der rote Reiter,,Mehrfarb. Lichtdruck,München,Bruckmann,1960,825 x 585,695 x 490,,45.- DM (BRD),Abstrakte Malerei,,
Kbl 1960 C 252,"Marini, Marino",,Der rote Reiter,,Mehrfarb. Kupfertiefdruck,München,Bruckmann,1960,835 x 590,700 x 490,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 81,"Mathieu, Georges",118937332,Komposition,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,665 x 995,545 x 890,,75.-,Abstrakte Malerei,,
Kbl 1962 C 62,"Meistermann, Georg",118580450,"Fisch, Ochs, Vogel",,Mehrfarb. Lichtdruck,München,Hanfstaengl,1961,750 x 850,645 x 750,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1974 C 41,"Miró, Joan",118582712,Frau und Vogel,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1974,620 x 560,500 x 470,"Gradus-Blätter, G 3376",20.- DM (DDR),Abstrakte Malerei,,
"Kbl 1991 B 1,1 -12","Miró, Joan",118582712,Frauen und Vögel,Redaktion u. Text: Eberhard Urban,Mehrfarb. Offsetdruck,Frankfurt/Main,Brönner Galerie,ca. 1989,475 x 400,395 x 300,,,Abstrakte Malerei,"1 Bl. Text, 11 Bl farb. Abb. ; Bildunterschriften in Franz. ; dt. auf Textbeil. ; 1. Frau und Vögel in e. nächtlichen Landschaft. - 2. Die Froschfrau u. d. Vögel, welche bei Sonnenaufgang Schreie ausstoßen, - 3. Ohne Titel. - 4. Figur (fehlt). - 5. Liebespaar u. Vögel in d. Nacht. - 6. Figur, Vogel. - 7. Frau in d. Nacht. - 8. Frau. - 9. Ohne Titel. - 10. Frau, Vögel. - 11. Ohne Titel. - 12. Frau, Vogel.",
Kbl 1981 C 12,"Miró, Joan",118582712,Objekt-Bild,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1980,850 x 395,725 x 300,"Gradus-Blätter, G 3447",20.- DM (DDR),Abstrakte Malerei,,
Kbl 1967 C 17,"Morell, Piet",,12 Radierungen [aus dem Jahr 1964-1966],Vorwort von Edouard Roditi,Radierungen,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,390 x 530,verschied. Bildgr.,,in Mappe 390.- DM (BRD)),Abstrakte Malerei,in Mappe ; 35 Abzüge auf Bütten ; 1. Kleine koventionelle Lok. - 2. Der Ordenshase. - 3. Landkärtchen (Frühlingsgeneration) oder Fata Morgana. - 4. Die Kühe des Hypnos. - 5. Cultivated local-type Pig. - 6. Die Gesandten eines schrecklich gehörnten Fauns. - 7. Bild für Blinde! Vorausschauend. Eine Selbstbehandlung. - 8. Der große König. - 9. Ein unterirdischer Playboy. - 10. Der idealistische Einspänner. - 11. Ich glaube an alle Verzauberungen. - 12. Die Aufteilung der Welt. Ein Staatstheater.,
Kbl 1960 C 63,"Nay, E[rnst] W[ilhelm]",118586653,Akkord in Rot und Blau,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1959,950 x 730,805 x 615,,60.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 127,"Nay, E[rnst] W[ilhelm]",118586653,Ekstatisches Blau,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,915 x 660,800 x 560,,70.-,Abstrakte Malerei,,
Kbl 1973 C 154,"Nay, E[rnst] W[ilhelm]",118586653,Blau fugal,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,590 x 770,420 x 600,"Piperdruck, Nr. 256",58.-,Abstrakte Malerei,,
Kbl 1973 C 169,"Nay, Ernst Wilhelm",118586653,Gelb-Zinnober,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,580 x 770,420 x 600,"Piperdruck, Nr. 203",58.-,Abstrakte Malerei,,
Kbl 1973 C 145,"Nay, Ernst Wilhelm",118586653,Motion,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,775 x 985,640 x 850,"Piperdruck, Nr. 219",83.-,Abstrakte Malerei,,
Kbl 1973 C 79,"Nay, Ernst Wilhelm",118586653,Umbrisch Blau,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,585 x 755,420 x 600,"Piperdruck, Nr. 210",58.-,Abstrakte Malerei,,
Kbl 1973 C 80,"Nay, Ernst Wilhelm",118586653,Dominant Grün,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,800 x 590,600 x 420,"Piperdruck, Nr. 251",58.-,Abstrakte Malerei,,
Kbl 1955 C 344,"Nay, Ernst Wilhelm",118586653,[Mit grünen Scheiben],,Mehrfarb. Lichtdruck,München,Hanfstaengl,1955,650 x 930,535 x 850,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 90,"Nay, Ernst Wilhelm",118586653,Schwarz-Gelb,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1969,945 x 845,795 x 740,,70.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 C 155,"Nay, Ernst Wilhelm",118586653,Vulkanisch,,Mehrfarb. Lichtdruck,München,Piperdrucke,,,,"Piperdruck, Nr. 249",58.-,Abstrakte Malerei,,
Kbl 1975 C 17,"Nehmer, Rudolf",118586858,Orbis Pictus,,Mehrfarb. Offsetdruck,Leipzig,Seemann,1975,560 x 950,460 x 895,,10.- DM (DDR),Abstrakte Malerei,,
DB-Magazin SC 339-1,"Nesch, Rolf",11873850X,,(Einf.: Alfred Hentzen),Mehrfarb. Autotypie,Stuttgart,Belser,1964,,,Belser Kunstmappe 1,"16,80 DM (DDR)",Abstrakte Malerei,"1 Bl.,  Taf. ; (1. Lofotenfischer ziehen Netze. - 2. Badende u. Mond. - 3. Zwei Menschen am Strand. - 4. La femme du patron. - 5. Witwe. - 6. Heiliger. - 7. Matte Sonne. - 8. Tanz.)",
1925 T 16-4299,,,Neuankömmlinge im Pflanzenreich,Zeichnung: Marianne Golte-Bechle,Mehrfarb. Offsetdruck,Stuttgart,Der Neue Schulmann,1978,920 x 640,,Kosmos-Wandbild Nr. 4299,"12,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1950 C 21-81,"Nicholson, Ben",118587609,Crête,[nebst] Kommentar,Mehrfarb. Tiefdruck,"Luzern, Freudenstadt, Wien",Kunstkreis,1960,480 x 600,455 x 565,"Kunstkreis, Nr. 81",sfr 6.-,Abstrakte Malerei,"2 Bl. Mit Abb. ; Wechselrahmen in Naturholz 12.50; Standard-Wechselrahmen 15,-; Sammelmappe sfr 3,50",
Kbl 1967 C 85,"Novelli, [Gastone]",118952234,[3 Monde und 6 Drachen],,Orig.-Radierung,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,650 x 500,315 x 245,,120.- DM (BRD),Abstrakte Malerei,50 Abzüge,
Kbl 1967 C 86,"Novelli, [Gastone]",118952234,[Der Weltraummechaniker],,Orig.-Radierung,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,650 x 500,315 x 245,,120.- DM (BRD),Abstrakte Malerei,50 Abzüge,
Kbl 1960 C 54,"Ouborg, Piet",119039966,Das Zeichen,,Mehrfarb. Autotypie,München,Hanfstaengl,1960,500 x 630,395 x 590,,12.- DM (BRD),Abstrakte Malerei,,
Kbl 1957 A 25,"Picasso, Pablo",118594206,Blick aus dem Atelier,,Mehrfarb. Autotypie,Leipzig,Seemann,1957,248 x 228,210 x 205,,"1,50 DM (DDR)",Abstrakte Malerei,,
Kbl 1960 A 63,"[Picasso, Pablo]",118594206,[Femme Turc],,Mehrfarb. Autotypie,Eßlingen a. N.,Fingerle & Co.,1959,268 x 210,,,"2,50 DM (BRD)",Abstrakte Malerei,,
Kbl 1958 C 34,"Picasso, Pablo",118594206,"[Landschaft, 1920]",,Mehrfarb. Lichtdruck,München,Hanfstaengl,1957,320 x 800,513 x 708,,50.- DM (BRD),Abstrakte Malerei,,
Kbl 1973 C 136,"Picasso, Pablo",118594206,Landschaft,,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,680 x 935,500 x 800,"Piperdruck, Nr. 238",75.-,Abstrakte Malerei,,
Kbl 1989 C 15,"Picasso, Pablo",118594206,Mann mit Mandoline,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1988,820 x 400,690 x 305,"Gradus-Blätter, G 3482",ca 25.- DM (DDR),Abstrakte Malerei,,
Kbl 1981 C 33,"Picasso, Pablo",11859426,Grandes têtes (Große Köpfe),,Mehrfarb. Offsetdruck,Leipzig,Seemann,1980,590 x 385,500 x 325,,10.- DM (DDR),Abstrakte Malerei,,
Kbl 1973 C 142,"Poliakoff, Serge",118595482,"Compositon, marron",,Mehrfarb. Lichtdruck,München,Piperdrucke,o.J.,775 x 960,650 x 850,"Piperdruck, Nr. 244",85.-,Abstrakte Malerei,,
Kbl 1972 C 162,"Quandt, Silvia",119293994,Die Augen der Nacht,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1971,575 x 480,445 x 400,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1980 C 7,"Ranft-Schinke, Dagmar",11914445X,Dialog,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1979,500 x 625,410 x 550,"Gradus-Blätter, G 3436",20.- DM (DDR),Abstrakte Malerei,,
Kbl 1967 B26,"Reiter, [Erwin]",118599585,([Radierung] VI/1965),,Orig.-Radierung,Freiburg i. Br.,"Johanna Schiessel, Abstracta-Verlag",1966,500 x 350,300 x 280,,50.- DM (BRD),Abstrakte Malerei,75 Abzüge,
Kbl 1981 C 15,"Rodtschenko, Alexander",118641999,Komposition,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1978,745 x 500,620 x 400,"Gradus-Blätter, G 3434",20.- DM (DDR),Abstrakte Malerei,,
Kbl 19559 C 12,"Rohlfs, [Christian]",118602217,Grüne Seelandschaft,,Mehrfarb. Lichtdruck,München,Piperdrucke,1958,945 x 710,770 x 565,"Piperdruck, Nr. 193",60.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 161,"Rothko, Mark",118791311,Untitled,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1971,515 x 480,425 x 400,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1949 B 472,"Schlemmer, Oskar",118608088,Dreiergruppe,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1949,248 x 323,148 x 249,,"2,50 DM (BRD)",Abstrakte Malerei,,
DB 1969 T 24,"Schlemmer, Oskar",118608088,"Homo, Figur ""T""",[nebst Begleittext von] Karin von Maur,Mehrfarb. Lichtdruck,Stuttgart-Möhringen,Rothy-Verlag,1969,412 x 290,307 x 220,,"26,80 DM (BRD)",Abstrakte Malerei,nach einer Federzeichnung von 1919/1920,
Kbl 1949 B 478,"Schlemmer, Oskar",118608088,Konzentrische Gruppe,,Vierfarb. Autotypie,Esslingen a. N.,Fingerle & Co.,1947,250 x 324,184 x 254,,2.- DM (BRD),Abstrakte Malerei,,
Kbl 1958 A 116,"Schlemmer, Oskar",118608088,Konzentrische Gruppe,,Mehrfarb. Lichtdruck,Dresden,Verlag der Kunst,1957,400 x 300,300 x 190,"Sammlung kleiner Drucke, S. 19",4.- DM (DDR),Abstrakte Malerei,,
Kbl 1978 C 47,"Schmucker, Hannes",118609386,"Komposition ""Stuhl""",,Mehrfarb. Tiefdruck,München,Piperdrucke Verlags-GmbH,1976,1110 x 840,890 x 690,"Piperdruck, Nr. 264",100.- DM (BRD),Abstrakte Malerei,,
Kbl 1978 C 54,"Schmucker, Hannes",118609386,Konzentration,,Mehrfarb. Tiefdruck,München,Piperdrucke Verlags-GmbH,1977,905 x 795,700 x 650,"Piperdruck, Nr. 265",75 DM (BRD),Abstrakte Malerei,,
"(1968, 3/4)","Scholl, R[udolf] A[lfons]",118759027,Grafik,Adolf Scholl Texte,Mehrfarb. Orig.-Radierung; Orig.-Siebdruck,Köln,Hake,1964,400 x 400,210 x 245 u. ähnl. Bildgrößen,,Preis nicht mitgeteilt,Abstrakte Malerei,"in Mappe ; 1 Bl. Text, 5 Taf.",
K0 1971 C 93,"Schreib, Werner",118761668,Suite astronautique,mit e. Text von Paul Scheerbart,Orig.-Radierung,Hamburg,Dr. Hauswedell,1970,390 x 530,unterschiedl. Bildgr.,,750.- DM (BRD),Abstrakte Malerei,in Mappe ; 9 z. T. farb. Orig.-Radierungen ; 2 Bl.; 9 Taf.,
"(1968, 3/4)","Schütz, Peter H[ermann]",143532235,(Serigrafien),Hrsg. V. Walter Aue,Orig.-Siebdruck,Köln,Hake,1967,400 x 400,,,Preis nicht mitgeteilt,Abstrakte Malerei,"in Mappe ; 1 Bl. Text, 7 Taf.",
Kbl 1972 C 164,"Schulthess, Jörg",118611364,Der Traum vom Nashorn,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1971,505 x 660,400 x 570,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1972 C 128,"Soulages, Pierre",11875162X,Peinture 1955,,Mehrfarb. Lichtdruck,München,Hanfstaengl,o.J.,920 x 660,800 x 560,,70.-,Abstrakte Malerei,,
Kbl 1971 C 86,"Sprotte, Siegward",118752324,Stürzende Wasser,,Mehrfarb. Lichtdruck,München,Bruckmann,1964,510 x 650,395 x 550,,40.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 91,"Stael, Nicolas de",118752529,Figur am Meeresstrand,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1968,995 x 810,895 x 715,,80.- DM (BRD),Abstrakte Malerei,,
Kbl 1967 C 33,"Stael, Nicolas de",118752529,Honfleur,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1965,728 x 900,800 x 590,,65.- DM (BRD),Abstrakte Malerei,,
Kbl 1969 A 8,"Szymanski, Rolf",118758209,[Radierung],,Orig.-Radierung,Olef,Olefer Hagarpresse Rolf Kuhn,1967,355 x 245,140 x 80,"Graphik- und Einzelblattedition der Olefer Hagarpresse, Nr. 6",44.- DM (BRD),Abstrakte Malerei,,
Kbl 1972 C 159,"Trökes, Heinz",118760939,Glücksspiel,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1971,585 x 480,490 x 400,,Preis nicht mitgeteilt,Abstrakte Malerei,,
Kbl 1972 C 160,"Tanguy, Yves",118620681,Die Luft in ihrem Spiegel,,Mehrfarb. Lichtdruck,München,Hanfstaengl,1971,595 x 475,495 x 400,,Preis nicht mitgeteilt,Abstrakte Malerei,,
