signatur,urheber,idn,titel,zusatz,bem2,ort,verlag,entstehung,blatt,bild,reihe,preis,schlagwort,bemerkung,technik,motiv,idn_technik,mappe,grafiker,hrsg,hrsg2
Kbl 1943 b 39,"Gönner, Ph[ilipp]",1236025962,Bei Garmisch-Partenkirchen,,Offsetdr.,Berlin-Wilm.,Grauert u. Zink,1943,800 x 635,600 x 440,,12,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Offsetdruck,!041561457!,41333357,,,,
Kbl 1943 B 4,"Thorak, Josef",119150204,Zwei Menschen,,Kupfertiefdruck,München,F. Bruckmann,1943,480 x 645,275 x 410,,5.- RM,verschiedene Bilder,,Tiefdruck,,04060053X,,,,
Kbl 1943 b 40,"Gönner, Ph[ilipp]",1236025962,Altes Bauernhaus in Tirol,,Offsetdr.,Berlin-Wilm.,Grauert u. Zink,1943,800 x 635,600 x 440,,12,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Offsetdruck,!041561457!,41333357,,,,
Kbl 1943 B 41,"Steib, Josef",118146696,Heimkehr,,Farbenlichtdr.,Berlin,"Scherl, Abt. Kunstverl.",1943,715 x 825,595 x 695,,25,Illustrationen zu Erzählungen,,Lichtdruck,,42736064,,,,
Kbl 1943 B 5,"Graff, Anton",118697064,Friedrich der Grosse,,Farb. Kupfertiefdruck,München,F. Bruckmann,1943,580 x 710,500 x 605,"Bruckmann-Druck, 5162",20.- RM,Benannte Bildnisse ; F,,Tiefdruck,,04060053X,,,,
Kbl 1943 B 6,"Gauermann, Fr[iedrich]",118689789,Der Altausseer See,,Farbelichtdr.,München,Piperdrucke,1943,555 x 440,435 x 300,Piperdruck. 148,18,Bezeichnete Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 b 7,"Gauermann, Fr[iedrich]",118689789,Landschaft bei Miesenbach,,Farbenlichtdr.,München,Piperdrucke,1943,555 x 450,435 x 305,Piperdruck. 149,18,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Lichtdruck,!041561457!,42736064,,,,
Kbl 1943 b 8,"Waldmüller, [Ferdinand Georg]",133365573,Almhütte,,Farbenlichtdr.,München,Piperdrucke,1943,380 x 450,255 x 305,Piperdruck. 152,15,Anonyme Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 B 9,"Waldmüller, [Ferdinand Georg]",133365573,Der Wolfgangsee,,Farbenlichtdr.,München,Piperdrucke,1943,370 x 445,250 x 305,Piperdruck. 151,15,Bezeichnete Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 C 1,"Somogyi, [Miklós] von",,Erntezeit,,Farbenlichtdruck,Berlin,Sala,1943,940 x 640,800 x 600,,20.- RM,Jahreszeiten ; Ernte,,Lichtdruck,!952728230!,42736064,,,,
Kbl 1943 C 10,"Chardin, [Jean-Baptiste Siméon]",118520121,Der Zeichner,,Farbenlichtdruck,München,Piperdrucke,1943,680 x 830,535 x 670,"Piperdruck, 153",36.- RM,Zeichner,,Lichtdruck,!987004018!,42736064,,,,
Kbl 1943 C 101,"Dressler, H[ans]",1079693025,"Warthegau, Oberau II.",,Farbenlichtdruck,Frankfurt a. O.,Kunstverlag Trowitzsch,1943,1040 x 695,950 x 590,,25.- RM,"Flachland, Bezeichnete Landschaften",,Lichtdruck,!962679267!,42736064,,,,
Kbl 1943 C 102,"Reiser, Carl",103238736X,Blumenstück,,Farbenlichtdr.,München,F. Bruckmann,1943,840 x 980,725 x 805,Bruckmann-Druck. 5158,30,"Blumenbilder, Vermischte Arten",,Lichtdruck,!041127943!,42736064,,,,
Kbl 1943 c 103,"Gerwin, Franz",124279813,Kokerei,,Farbenlichtdr.,München,F. Bruckmann,1943,1060 x 795,915 x 690,Bruckmann-Druck. 5157,30,"II. Reproduktionen phatomech. u. sonstige Art, 3. Flachdrucke: Lithographien, Lichtdrucke, Offsetdrucke",,Lichtdruck,,42736064,,,,
Kbl 1943 C 104,"Theis, H[einz]",103775641X,Im Wettersteingebirge,,Farbenlichtdr.,Dresden,Abshagen,1943,1040 x 740,960 x 660,,30,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Lichtdruck,!041561457!,42736064,,,,
Kbl 1943 C 105,"Altenkirch, Otto",116293810,Am Heller Wald,,Farbenlichtdr.,Dresden,Abshagen,1943,950 x 750,830 x 655,,25,Bezeichnete Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 c 106,"Knobloch, R[olf]",,Ernte am See,,Farbenlichtdr.,Dresden,Abshagen,1943,950 x 750,660 x 860,,25,Anonyme Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 c 107,"Diefenbach, L[ucidus]",116100117,Netzeinholen auf Hochseekutter,,Farbenlichtdr.,München,Hanfstaengl,1943,1080 x 800,1000 x 700,Hanfstanegl-Druck 13607,27,Anonyme Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 c 108,"Sandrock, Leonhard",116801565,Fischdampfer holt sein Netz,,Farbenlichtdr.,München,Hanfstaengl,1943,1080 x 850,1000 x 760,Hanfstanegl-Druck 13610,27,Anonyme Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 C 11,"[Hey, Paul]",116785861,Feierabend,,Farb. Offsetdr.,Dresden,Meinhold,1943,700 x 1000,615 x 870,Meinholds Bilder für den Anschauungsunterricht,3,"Bauerntum, Ackerbau","Neue Sammlg. Nr 9, [2.Aufl.]",Offsetdruck,!942155386!,41333357,,,,
Kbl 1943 C 111,"Heinrich, R[ichard]",1025800508,Die Kornernte,"Hrsg. v. Dt. Volksbildungswerk i. d. Dt. Arbeitsfront, Berlin",Farb. Offsetdr.,Dresden,Meinhold,1943,1050 x 745,975 x 680,Meinholds Bilder (Stätten deutscher Arbeit),6,"Bauerntum, Ackerbau",Nr. 2,Offsetdruck,!942155386!,41333357,,,Dt. Volksbildungswerk i. d. Dt. Arbeitsfront,Berlin
Kbl 1943 C 112,"Picco-Rückert, Ria",121138755,Hüttenwerk,,Farbenlichtdruck,[Dresden],[May],1943,1060 x 880,940 x 760,"Sartos-Druck, 5970",25.- RM,Industrie,,Lichtdruck,!041616022!,42736064,,,,
Kbl 1943 C 113,"Roloff, A[lfred]",131943618,Sturmgepeitscht,,Farbenlichtdr.,Dresden,May,1943,1120 x 880,1000 x 760,Sartos-Druck. 5958,25,Anonyme Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 C 12,"[Wagner, Karl]",118770705,Eichhörnchen,,Farb. Offsetdr.,Dresden,Meinhold,1943,1000 x 700,850 x 605,Meinholds Tierbild. Nr 48a,3,"Tierbilder, Eichhörnchen",[3. Aufl.],Offsetdruck,!979881528!,41333357,,,,
Kbl 1943 C 120,"D[ürer], A[lbrecht]",11852786X,"Ritter, Tod und Teufel",,"Handpressen-Kupferdruck, Vergrößerung nach d. Stich",München,Hanfstaengl,1944,750 x 1075,535 x 710,,12.- RM,Allegorie,,Kupferdruck,,41661028,,,,
Kbl 1943 C 13,"[Wagner, Karl]",118770705,Löwe und Löwin,,Farb. Offsetdr.,Dresden,Meinhold,1943,695 x 1000,610 x 855,Meinholds Tierbild. Nr 32,3,"Tierbilder, Löwen",[2. Aufl.],Offsetdruck,!041144368!,41333357,,,,
Kbl 1943 C 14,"[Wagner, Karl]",118770705,Krokodil,,Farb. Offsetdr.,Dresden,Meinhold,1943,670 x 1000,610 x 850,Meinholds Tierbild. Nr 19,3,"Tierbilder, Krokodil",[3. Aufl.],Offsetdruck,!956302580!,41333357,,,,
Kbl 1943 C 15,"Heinrich, R[ichard]",1025800508,Das Postamt,"Hrsg. v. Dt. Volksbildungswerk i. d. Dt. Arbeitsfront, Berlin",Farb. Offsetdr.,Dresden,Meinhold,1943,1050 x 745,975 x 680,"Meinholds Bilder ""Stätten deutscher Arbeit"" Nr 1",6,"Handel, Handwerk, Verkehr",,Offsetdruck,,41333357,,,Dt. Volksbildungswerk i. d. Dt. Arbeitsfront,Berlin
Kbl 1943 C 16,"Ruijsdael, Jacob van",118604082,Die Mühle am Rhein bei Wijk-bij-Duurstede,,Farbenlichtdr.,München,Hanfstaengl,1943,950 x 780,860 x 705,Hanfstaengl-Druck A 20,27,"Bezeichnete Motive, Fluß und Bachmotive",,Lichtdruck,!041548930!,42736064,,,,
Kbl 1943 C 17,"Dieter, Hans",118722514,Beginnender Frühling,,Farbenlichtdruck,München,Hanfstaengl,1943,890 x 780,800 x 650,"Hanfstaengl-Druck, 13587",18.- RM,Jahreszeiten ; Frühling,,Lichtdruck,!04130974X!,42736064,,,,
Kbl 1943 C 18,"Wegert, Frieder",1055468196,Sommergartenblumen,,Farbenlichtdr.,München,Hanfstaengl,1943,650 x 790,555 x 655,Hanfstaengl-Druck 13585,18,"Blumenbilder, Rosen",,Lichtdruck,!041157915!,42736064,,,,
Kbl 1943 C 19,"Vaeltl, Otto",1047768380,Herbstblüten,,Farbenlichtdr.,München,Hanfstaengl,1943,730 x 890,650 x 750,Hanfstaengl-Druck 13578,"22,50","Blumenbilder, Heckenrosen",,Lichtdruck,!965367762!,42736064,,,,
Kbl 1943 C 2,"Am Ende, Hans",118502468,Sommertag im Moor,,Farbenlichtdr.,Leipzig,Verl. Meister der Farbe [jetzt: Seemann u. Co.],1943,935 x 635,735 x 495,,15,"Sumpf, Moor",,Lichtdruck,!971590303!,42736064,,,,
Kbl 1943 c 20,"Schulz, Fritz W.",140645268,Herren des Atlantik,,Farbenlichtdr.,München,Hanfstaengl,1943,1000 x 780,910 x 640,,27,Anonyme Motive,,Lichtdruck,,42736064,,,,
Kbl 1943 C 21,"Rembrandt, [Harmensz van Rijn]",11859964X,Der Mann mit dem Goldhelm,,Farbenlichtdruck,München,Hanfstaengl,1943,600 x 800,495 x 660,"Hanfstaengl-Druck, B 764","22,50 RM",Männerbilder,,Lichtdruck,!041237099!,42736064,,,,
Kbl 1943 C 22,"Hals, Franz",118545221,[Der Narr],,Farbenlichtdruck,München,Hanfstaengl,1943,650 x 780,575 x 660,,"22,50 RM",Ständebilder,,Lichtdruck,,42736064,,,,
Kbl 1943 C 23,"Olszewski, Karl Ewald",127857451,Wildgänse im aufkommenden Sturm,,Farbenlichtdr.,München,Hanfstaengl,1943,1000 x 780,900 x 640,Hanfstaengl-Druck. 13586,"22,50","Tierbilder, Vögel",,Lichtdruck,!041218787!,42736064,,,,
Kbl 1943 C 27,"[Schmidt, Hans]",1055665714,Enten,,Farb. Offsetdr.,Dresden,Meinhold,1943,700 x 1000,605 x 855,Meinholds Tierbild. Nr 99,3,"Tierbilder, Geflügel, Enten",[2. Aufl.],Offsetdruck,!1023926253!,41333357,,,,
Kbl 1943 C 28,,,Meinhold's Zahntafel,,Farb. Offsetdruck,Dresden,Meinhold,1943,700 x 980,600 x 850,,3.- RM,Medizin,,Offsetdruck,!041145453!,41333357,,,,
Kbl 1943 C 29,"Picco-Rückert, Ria",121138755,Hochofenwerk,,Farbenlichtdruck,[Dresden],[May],1943,780 x 860,670 x 845,"Sartos-Druck, 5972",18.- RM,Industrie,,Lichtdruck,!041616022!,42736064,,,,
Kbl 1943 c 3,"Blanke, W[ilhelm Friedrich]",,Markusplatz in Venedig,,Farbenlichtdr.,Leipzig,Verl. Meister der Farbe [jetzt: Seemann u. Co.],1943,700 x 960,630 x 740,,15,,,Lichtdruck,,42736064,,,,
Kbl 1943 C 30,"Zill, Rich[ard]",,Dahlien,,Farbenlichtdruck,Dresden,,May 1943,820 x 940,700 x 800,Sartos-Druck,15,"Blumenbilder, Christrosen",5850,Lichtdruck,!041127943!,42736064,,,,
Kbl 1943 C 31,"Heymann, R[ichard]",1025282299,Im herbstlichen Garten,,Farbenlichtdr.,Dresden,May,1943,720 x 920,600 x 790,Sartos-Druck. 5913,18,Gartenbilder,,Lichtdruck,!041213106!,42736064,,,,
Kbl 1943 C 32,"Schoch, E[ugen]",1079280316,Sonnenblumen,,Farbenlichtdr.,Dresden,May,1943,720 x 900,600 x 760,Sartos-Druck. 5830,12,"Blumenbilder, Sonnenblumen",,Lichtdruck,!941234398!,42736064,,,,
Kbl 1943 C 37,"Stoskopf, [Gustav]",117304778,Elsässischer Bauer,,Farbenlichtdruck,Berlin-Wilm.,Grauert & Zink,1943,650 x 850,570 x 685,,27.- RM,Ständebilder ; Bauer,,Lichtdruck,!041228839!,42736064,,,,
Kbl 1943 C 4,"Köhler, August",103499753X,Schwäbische Landschaft (Achalm),,Vierfarbendr.,Esslingen,Fingerle,1943,1000 x 700,780 x 590,,20,"Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Farbdruck,!041561457!,41536959,,,,
Kbl 1943 C 5,"Milan, Alfred",,Aichwaldsee,,Farb. Kupfertiefdr.,Esslingen,Fingerle,1943,910 x 660,775 x 580,,20,Bezeichnete Motive,,Tiefdruck,,04060053X,,,,
Kbl 1943 C 6,"Herrmann, Willy",1056613718,Am Pflug,,Farbenlichtdruck,Berlin,Sala,1943,940 x 640,800 x 600,,20.- RM,Bäuerliche Motive,,Lichtdruck,!942155386!,42736064,,,,
Kbl 1943 C 7,"Heinrichs, E[duard]",,Heimaterde,,Farb. Offsetdruck,Berlin,Sala,1943,995 x 775,795 x 600,,20.- RM,"Flachland, Anonyme Landschaften",,Offsetdruck,!962679267!,41333357,,,,
Kbl 1943 C 8,"Weisgerber, Carl",117278017,Niederreinische Weide,,Farbenlichtdruck,München,F. Bruckmann,1943,905 x 765,850 x 690,"Bruckmann-Druck, 5152",27.- RM,"Flachland, Bezeichnete Landschaften",,Lichtdruck,!962679267!,42736064,,,,
Kbl 1943 C 9,"Krüger, E[rich]",,Sommerblumen,,Farbenlichtdr.,Dresden,Abshagen,1943,700 x 850,600 x 695,,15,"Blumenbilder, Rosen",,Lichtdruck,!041157915!,42736064,,,,
Kbl 1944 A 1,"Grimm, Ludwig Emil",,Kinderspiel in Kurhessen,,Radierung,[Kassel],[Bärenreiter-Verlag],1943,375 x 260,185 x 145,"Bärenreiter-Einblattdruck, Nr 172",4.- RM,Kinderbilder,,Radierung,!041141709!,40481662,,,,
Kbl 1944 a 10,"Adamus, L[udwig]",1032963980,"Salzburg, Linzertor",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,235 x 295,150 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1944 A 101,"Hennemann, Karl",119498499,Ähren,,Orig. Holzschnitt,"Berlin, z.Zt. Chemnitz",Daco-Verl.,1944,355 x 500,230 x 295,,30,Früchte,,Holzschnitt,!041555066!,40257363,,,,
Kbl 1944 A 102,"Hennemann, Karl",119498499,Föhre,,Orig. Holzschnitt,"[Berlin, z. Zt. Chemnitz]",Daco-Verlag,1944,355 x 500,300 x 400,,40.- RM,"Bäume und Sträucher, Föhre",,Holzschnitt,!041126750!,40257363,,,,
Kbl 1944 A 103,"Hennemann, Karl",119498499,Anemonen,,Orig. Holzschnitt,"Berlin, z.Zt. Chemnitz",Daco-Verl.,1944,355 x 500,240 x 300,,30,"Blumenbilder, Anemone",,Holzschnitt,!041127943!,40257363,,,,
Kbl 1944 A 107,"Rubens, P[eter] P[aul]",11860354X,[Kinderköpchen],,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",[Völk. Kunstverlag],1944,300 x 360,205 x 250,,6.- RM,Kinderbilder,,Autotypie,!041141709!,41437233,,,,
Kbl 1944 A 108,"[Vermeer] van Delft, [Jan]",118626590,Die Briefleserin,,Autotypie,"Berlin, jetzt Landsberg/Warthe",Völk. Kunstverl.,1944,300 x 420,260 x 330,,"3,50",Häusl. Genre,,Autotypie,,41437233,,,,
Kbl 1944 A 109,"Rembrandt, [Harmensz van Rijn]",11859964X,Mann im Goldhelm,,Vierfarbendruck,"[Berlin, jetzt: Landsberg/Warthe]",Völk. Kunstverlag,1944,300 x 420,260 x 345,,"3,50 RM",Männerbilder,,Farbdruck,!041237099!,41536959,,,,
Kbl 1944 a 11,"Adamus, L[udwig]",1032963980,"Salzburg, Klosterhof",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,235 x 295,155 x 190,,12,,,Radierung,,40481662,,,,
Kbl 1944 A 110,"Amberger, [Christoph]",,Sebastian Münster,,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",Völk. Kunstverlag,1944,300 x 420,260 x 330,,"3,50 RM",Benannte Bildnisse ; M,,Autotypie,,41437233,,,,
Kbl 1944 A 111,"[Vermeer] van Delft, [Jan]",118626590,Die Küchenmagd,,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",[Völk. Kunstverlag],1944,300 x 425,260 x 295,,"3,50 DM",Ständebilder,,Autotypie,,41437233,,,,
Kbl 1944 A 112,"Dürer, Albrecht",11852786X,Schloßhof II,,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",Völk. Kunstverlag,1944,300 x 420,250 x 340,,"3,50 RM","Bauliche Motive, Schlösser und Burgen, bezeichnete Motive",,Autotypie,!041266714!,41437233,,,,
Kbl 1944 A 113,"Dürer, [Albrecht]",11852786X,Hyronimus Holzschuher,,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",[Völk. Kunstverlag],1944,300 x 420,260 x 360,,"3,50 RM",Benannte Bildnisse ; H,,Autotypie,,41437233,,,,
Kbl 1944 A 114,"Holbein [d. J., Hans]",118552953,Kaufmann Gisze,,"Autotypie, nach der Hanfstaengl-Druck hergestellt","[Berlin, jetzt: Landsberg/Warthe]",[Völk. Kunstverlag],1944,300 x 420,260 x 295,,"3,50 RM",Benannte Bildnisse ; G,,Autotypie,,41437233,,,,
Kbl 1944 A 115,"Dürer, Albrecht",11852786X,Frauenbildnis [Bildnis einer jungen Frau],,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",[Völk. Kunstverlag],1944,300 x 420,240 x 325,,"3,50 RM","Bildnisse, Anonym (Fortsetzung); Mütter-, Frauenbilder",,Autotypie,!041207785!,41437233,,,,
Kbl 1944 A 117,"Dürer, [Albrecht]",11852786X,Imhoff,,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",Völk. Kunstverlag,1944,300 x 420,260 x 360,,"3,50 RM",Benannte Bildnisse ; I/J,,Autotypie,,41437233,,,,
Kbl 1944 A 118,"Dyck, [Anton] van",118528386,Baby Stuart,,Autotypie,"Berlin, jetzt Landsberg/Warthe",Völk. Kunstverlag,1944,300 x 420,260 x 345,,"3,50","Bildnisse, benannt (Fort.)",,Autotypie,,41437233,,,,
Kbl 1944 A 119,"Friedrich, C[aspar] D[avid]",118535889,Riesengebirgslandschaft,,"Autotypie, nach d. Hanfstaengl-Druck hergest.","Berlin, jetzt: Landsberg/Warthe",Völk. Kunstverl.,1944,420 x 300,370 x 255,,"3,50","Gebirgs- u. Hügellandschaft, Bezeichnete Motive",,Autotypie,!041561457!,41437233,,,,
Kbl 1944 a 12,"Adamus, L[udwig]",1032963980,"[Salzburg, Kapuzinerstiege]",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,235 x 295,100 x 120,,10,,(vergr.),Radierung,,40481662,,,,
Kbl 1944 A 120,"Rubens, [Peter Paul]",11860354X,Kopf eines Knaben,,"Autotypie, nach der Hanfstaengl-Druck hergestellt","[Berlin, jetzt: Landsberg/Warthe]",[Völk. Kunstverlag],1944,300 x 420,260 x 360,,"3,50 RM",Knabenbilder,,Autotypie,!042043026!,41437233,,,,
Kbl 1944 A 121,"[Hooch, Pieter de]",118774859,Holländische Wohnstube,,Autotypie,"[Berlin, jetzt: Landsberg/Warthe]",Völk. Kunstverlag,1944,300 x 420,260 x 315,,"3,50 RM",Interieurs,,Autotypie,!118717517X!,41437233,,,,
Kbl 1944 A 122,"Graff, [Anton]",118697064,Friedrich der Große,,Autotypie,Berlin [jetzt: Landsberg/Warthe],Völk. Kunstverlag,1944,300 x 420,260 x 330,,"3,50 RM",Benannte Bildnisse ; F,,Autotypie,,41437233,,,,
Kbl 1944 A 123,"Just, O[skar]",1163473014,Ostpreußischer Jungbauer,,Farb. Offsetdruck,Berlin [jetzt: Landsberg/Warthe],Völk. Kunstverlag,1944,340 x 415,330 x 400,,"6,50 RM",Ständebilder ; Bauer,,Offsetdruck,!041228839!,41333357,,,,
Kbl 1944 A 124,"Just, O[skar]",1163473014,Ostmärker [Jäger aus dem Stodertal/Oberdonau],,Farb. Offsetdruck,Berlin [jetzt: Landsberg/Warthe],Völk. Kunstverlag,1944,340 x 415,330 x 400,,"6,50 DM",Ständebilder,,Offsetdruck,,41333357,,,,
Kbl 1944 A 125,"Just, O[skar]",1163473014,Brandenburgisches BDM-Mädel,,Farb. Offsetdruck,Berlin [jetzt: Landsberg/Warthe],Völk. Kunstverlag,1944,340 x 415,330 x 400,,"6,50 RM",Mädchenbilder,,Offsetdruck,!042497426!,41333357,,,,
Kbl 1944 A 126,"Just, O[skar]",1163473014,Sudetendeutsche Frau,,Farb. Offsetdruck,"Berlin, [jetzt: Landsberg/Warthe]",Völk. Kunstverlag,1944,340 x 415,330 x 400,,"6,50 RM",Landschaftlich gebundene Bildnisse,,Offsetdruck,!04114354X!,41333357,,,,
Kbl 1944 a 13,"Adamus, L[udwig]",1032963980,"Salzburg, Judengasse",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,235 x 295,150 x 165,,10,,,Radierung,,40481662,,,,
Kbl 1944 a 14,"Adamus, L[udwig]",1032963980,"Salzburg, Durchblick",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,235 x 295,150 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1944 A 144,"Eiland, Erich W.",12754951X,Heimweg,,Orig. Lithogr. Repr.,Dresden,Verl. f. Deutsche Art,1944,325 x 405,220 x 305,,6,"II. Reproduktionen phatomech. u. sonstige Art, 3. Flachdrucke: Lithographien, Lichtdrucke, Offsetdrucke",,Lithographie,,40360423,,,,
Kbl 1944 A 145,"Eiland, Erich W.",12754951X,Es war einmal,,Orig. Lithogr. Repr.,Dresden,Verl. f. Deutsche Art,1944,325 x 405,220 x 310,,6,"II. Reproduktionen phatomech. u. sonstige Art, 3. Flachdrucke: Lithographien, Lichtdrucke, Offsetdrucke",,Lithographie,,40360423,,,,
Kbl 1944 A 146,"Eiland, Erich W.",12754951X,Dennoch!,,Orig. Lithogr. Repr.,Dresden,Verl. f. Deutsche Art,1944,405 x 325,300 x 210,,6,"II. Reproduktionen phatomech. u. sonstige Art, 3. Flachdrucke: Lithographien, Lichtdrucke, Offsetdrucke",,Lithographie,,40360423,,,,
Kbl 1944 A 147,"Eiland, Erich W.",12754951X,Hünengrab mit Totenwache,,Orig. Lithogr. Repr.,Dresden,Verl. f. Deutsche Art,1944,405 x 322,310 x 220,,6,"II. Reproduktionen phatomech. u. sonstige Art, 3. Flachdrucke: Lithographien, Lichtdrucke, Offsetdrucke",,Lithographie,,40360423,,,,
Kbl 1944 A 149,"Lange, J[oseph]",,Wolfgang Amadeus Mozart,nach einem unvollendeten Ölbild. 1782. Im Mozarteum zu Salzburg,Farbenlichtdruck,Kassel,Bärenreiter-Verlag,1943,290 x 350,140 x 175,"Meister der Musik, Nr 4",8.- RM,Benannte Bildnisse ; M,,Lichtdruck,,42736064,,,,
Kbl 1944 A 155,"Wittmann, Ch[ristian]",106254692X,Sonnenrosen mit Rittersporn,,Vierfarbendruck,Dresden,Brockmann,1944,365 x 430,300 x 350,,20,"Blumenbilder, Primeln",,Farbdruck,!97801233X!,41536959,,,,
Kbl 1944 A 156,"Krüger, [Erich]",,Tulpen,,Vierfarbendr.,Dresden,Brockmann,1944,365 x 430,300 x 350,,5,"Blumenbilder, Tulpen",,Farbdruck,!943795338!,41536959,,,,
Kbl 1944 A 158,"Bornschein, W[alter]",,Hitler,,Handpressen-Kupferdruck,Dresden,Abshagen,1943,350 x 450,195 x 260,,4.- RM,Benannte Bildnisse ; H,,Kupferdruck,,41661028,,,,
Kbl 1944 a 16,"Adamus, L[udwig]",1032963980,"Wien, Stallburggasse",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,235 x 295,150 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1944 A 162,"Weisz, Josef",118630628,Moorschwertel und Wollgras,,Farb. Faks.-Offsetdr.,München,Hirmer,1943,340 x 460,230 x 310,Hirmer-Druck Nr 1603,5,"Blumenbilder, Mohn",,Offsetdruck,!957818653!,41333357,,,,
Kbl 1944 A 163,"Riefel, Carlos von",,Moosröschen,,Farb. Faks.-Offsetdr. nach e. Aquarell,München,Hirmer,1944,250 x 250,235 x 230,Hirmer-Druck Nr 1615,5,"Blumenbilder, Mohn",,Offsetdruck,!957818653!,41333357,,,,
Kbl 1944 A 164,"Riefel, Carlos von",,Windlinge,,Farb. Faks.-Offsetdr.,München,Hirmer,1944,240 x 245,225 x 225,Hirmer-Druck. Nr 1616,5,"Blumenbilder, Vergißmeinnicht",,Offsetdruck,!041127943!,41333357,,,,
Kbl 1944 A 165,"Weisz, Josef",118630628,Österliche Blumen,,Farb. Faks.-Offsetdr. nach e. Aquarell,München,Hirmer,1943,340 x 460,245 x 315,Hirmer-Druck Nr 1601,5,"Blumenbilder, Mohn",,Offsetdruck,!957818653!,41333357,,,,
Kbl 1944 A 166,"Weisz, Josef",118630628,Sommerliches Blumenstück,,Farb.-Faks.-Offsetdr. Nach e. Aquarell,München,Hirmer,1943,340 x 460,240 x 315,Hirmer-Druck. Nr 1602,5,"Blumenbilder, Rosen",,Offsetdruck,!041157915!,41333357,,,,
Kbl 1944 A 167,"Weisz, Josef",118630628,Bergische und Alpenakelei,[Seltene Alpenblumen],Farb. Faks. Offsetdruck,München,Hirmer,1943,340 x 460,250 x 325,"Hirmer-Druck, Nr 1605",6,"Blumenbilder, Akelei",,Offsetdruck,!042090229!,41333357,,,,
Kbl 1944 A 168,"Utamaro, Kitagawa",118625721,Zwei Mädchen,,Farb. Faks.-Offsetdruck nach einem Farbenholzschnitt,München,Hirmer,1943,285 x 415,255 x 375,"Hirmer-Druck, Nr 1608",7.- RM,Mädchenbilder,,Offsetdruck,!042497426!,41333357,,,,
Kbl 1944 A 169,"Utamaro, Kitagawa",118625721,Mutter und Tochter nach dem Bade,,Farb. Faks.-Offsetdruck nach einem Farbenholzschnitt,München,Hirmer,1943,290 x 425,265 x 390,"Hirmer-Druck, Nr 1610",7.- RM,verschiedene Bilder,,Offsetdruck,,41333357,,,,
Kbl 1944 a 17,"Adamus, L[udwig]",1032963980,"Wien, Schönbrunn",,Farb. Orig.Radierung,Wien,Bilder-Redl,1943,230 x 295,145 x 165,,12,,,Radierung,,40481662,,,,
Kbl 1944 A 170,"Utamaro, Kitagawa",118625721,"Vornehmes Mädchen, Shamisen spielend",,Farb. Faks.-Offsetdruck nach einem Farbenholzschnitt,München,Hirmer,1943,280 x 425,255 x 390,"Hirmer-Druck, Nr 1611",7.- RM,Mädchenbilder,,Offsetdruck,!042497426!,41333357,,,,
Kbl 1944 A 171,"Puchinger, Erwin",1027026206,Bauernkinder aus Virgen,,Farbenlichtdruck,Wien,Verlag der Staatsdruckerei,1943,520 x 545,470 x 490,,16.- RM,Kinderbilder,,Lichtdruck,!041141709!,42736064,,,,
Kbl 1944 A 176,"Gutman, Thea",,Clematis,,Farb. Orig. Linolschnitt,Berlin-Strausberg,Hermann,1943,210 x 295,175 x 255,,"18,50","Blumenbilder, Christrosen",,Linolschnitt,!041127943!,40358615,,,,
Kbl 1944 A 177,"Thies, H[inrich]",1035158728,Helianthus,,Farb. Orig. Linolschnitt,Berlin-Strausberg,Hermann,1943,210 x 295,,,"18,50","Blumenbilder, Heckenrosen",,Linolschnitt,!965367762!,40358615,,,,
Kbl 1944 A 178,"Thies, H[inrich]",1035158728,Gartenmohn,,Farb. Orig.-Linolschnitt,Berlin-Strausberg,Hermann,1943,210 x 320,170 x 255,,"18,50","Blumenbilder, Mohn",,Linolschnitt,!957818653!,40358615,,,,
